Sales Person,Country,Product,Date,Amount,Boxes Shipped,Month,Year,Day
Roddy Speechley,USA,Manuka Honey Choco,2022-07-22,95830,315,July,2022,Friday
Andria Kimpton,UK,50% Dark Bites,2022-08-24,26530,314,August,2022,Wednesday
Kelci Walkden,New Zealand,After Nines,2022-07-07,1470,72,July,2022,Thursday
Camilla Castle,Australia,85% Dark Bars,2022-05-19,36540,14,May,2022,Thursday
Karlen McCaffrey,India,Manuka Honey Choco,2022-07-04,24430,581,July,2022,Monday
Kelci Walkden,USA,After Nines,2022-06-02,9380,16,June,2022,Thursday
Karlen McCaffrey,USA,Raspberry Choco,2022-04-15,147490,354,April,2022,Friday
Mallorie Waber,Canada,Choco Coated Almonds,2022-07-11,47810,241,July,2022,Monday
Andria Kimpton,India,Spicy Special Slims,2022-02-23,63070,142,February,2022,Wednesday
Madelene Upcott,Canada,Almond Choco,2022-08-22,76020,102,August,2022,Monday
Kaine Padly,USA,Peanut Butter Cubes,2022-02-16,67900,188,February,2022,Wednesday
Van Tuxwell,USA,50% Dark Bites,2022-01-13,97370,160,January,2022,Thursday
Curtice Advani,Australia,Milk Bars,2022-02-14,69790,18,February,2022,Monday
Roddy Speechley,India,Eclairs,2022-06-10,43820,303,June,2022,Friday
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,52430,176,July,2022,Thursday
Curtice Advani,Canada,Almond Choco,2022-03-24,48650,70,March,2022,Thursday
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,85750,23,June,2022,Monday
Dotty Strutley,Australia,Drinking Coco,2022-07-19,910,135,July,2022,Tuesday
Beverie Moffet,USA,Raspberry Choco,2022-04-19,147980,83,April,2022,Tuesday
Marney O'Breen,India,85% Dark Bars,2022-07-19,22050,179,July,2022,Tuesday
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,4410,24,July,2022,Friday
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,35560,18,February,2022,Monday
Brien Boise,Canada,99% Dark & Pure,2022-05-18,167930,416,May,2022,Wednesday
Barr Faughny,Australia,Fruit & Nut Bars,2022-06-30,154210,55,June,2022,Thursday
Andria Kimpton,Australia,50% Dark Bites,2022-06-02,44380,227,June,2022,Thursday
Andria Kimpton,Australia,Drinking Coco,2022-06-28,16030,48,June,2022,Tuesday
Marney O'Breen,Australia,Organic Choco Syrup,2022-05-16,2730,174,May,2022,Monday
Kelci Walkden,Canada,Baker's Choco Chips,2022-05-26,30730,302,May,2022,Thursday
Karlen McCaffrey,India,Almond Choco,2022-07-06,60900,149,July,2022,Wednesday
Oby Sorrel,India,99% Dark & Pure,2022-05-27,102550,11,May,2022,Friday
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2022-04-14,20300,11,April,2022,Thursday
Van Tuxwell,Australia,Organic Choco Syrup,2022-08-10,194530,14,August,2022,Wednesday
Camilla Castle,India,50% Dark Bites,2022-07-04,92750,411,July,2022,Monday
Oby Sorrel,India,Organic Choco Syrup,2022-07-08,61810,56,July,2022,Friday
Jan Morforth,USA,Peanut Butter Cubes,2022-07-22,90370,102,July,2022,Friday
Gigi Bohling,USA,Choco Coated Almonds,2022-03-02,123130,103,March,2022,Wednesday
Gigi Bohling,UK,Almond Choco,2022-01-10,56420,9,January,2022,Monday
Jehu Rudeforth,New Zealand,White Choc,2022-03-11,28000,241,March,2022,Friday
Andria Kimpton,New Zealand,Peanut Butter Cubes,2022-06-20,9590,265,June,2022,Monday
Van Tuxwell,UK,Organic Choco Syrup,2022-08-26,20020,214,August,2022,Friday
Roddy Speechley,Canada,Milk Bars,2022-07-13,6090,32,July,2022,Wednesday
Camilla Castle,USA,Spicy Special Slims,2022-02-11,12740,244,February,2022,Friday
Marney O'Breen,USA,Orange Choco,2022-01-27,75950,181,January,2022,Thursday
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,47250,137,January,2022,Monday
Camilla Castle,USA,White Choc,2022-08-18,96810,24,August,2022,Thursday
Andria Kimpton,USA,Raspberry Choco,2022-06-30,145040,21,June,2022,Thursday
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,2800,311,August,2022,Tuesday
Brien Boise,New Zealand,Mint Chip Choco,2022-08-01,630,181,August,2022,Monday
Roddy Speechley,New Zealand,After Nines,2022-05-25,80010,10,May,2022,Wednesday
Roddy Speechley,Canada,Organic Choco Syrup,2022-01-10,40320,82,January,2022,Monday
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,58590,108,February,2022,Monday
Karlen McCaffrey,USA,Orange Choco,2022-05-12,110950,401,May,2022,Thursday
Madelene Upcott,Australia,Spicy Special Slims,2022-03-07,71820,408,March,2022,Monday
Dennison Crosswaite,Australia,85% Dark Bars,2022-04-05,68810,420,April,2022,Tuesday
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-01-03,71540,348,January,2022,Monday
Dennison Crosswaite,UK,Eclairs,2022-03-24,61880,270,March,2022,Thursday
Madelene Upcott,India,Raspberry Choco,2022-07-07,42210,9,July,2022,Thursday
Van Tuxwell,USA,After Nines,2022-07-26,6300,264,July,2022,Tuesday
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,17430,111,July,2022,Thursday
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,29190,65,July,2022,Friday
Roddy Speechley,New Zealand,Orange Choco,2022-04-01,490,97,April,2022,Friday
Beverie Moffet,Australia,Eclairs,2022-06-20,18270,6,June,2022,Monday
Kelci Walkden,UK,Fruit & Nut Bars,2022-06-29,130060,482,June,2022,Wednesday
Marney O'Breen,USA,50% Dark Bites,2022-06-15,10640,106,June,2022,Wednesday
Husein Augar,USA,After Nines,2022-04-08,115710,180,April,2022,Friday
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,57400,31,March,2022,Monday
Andria Kimpton,USA,Fruit & Nut Bars,2022-07-15,14560,359,July,2022,Friday
Kelci Walkden,India,Eclairs,2022-04-19,53340,80,April,2022,Tuesday
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,41510,296,March,2022,Monday
Brien Boise,Canada,Spicy Special Slims,2022-03-04,81060,101,March,2022,Friday
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-08-02,1260,40,August,2022,Tuesday
Husein Augar,UK,Spicy Special Slims,2022-08-25,46970,42,August,2022,Thursday
Marney O'Breen,USA,Almond Choco,2022-02-25,77980,167,February,2022,Friday
Kelci Walkden,India,Orange Choco,2022-06-07,94080,138,June,2022,Tuesday
Jan Morforth,India,Spicy Special Slims,2022-04-12,19390,520,April,2022,Tuesday
Ches Bonnell,India,Spicy Special Slims,2022-07-06,109060,94,July,2022,Wednesday
Kelci Walkden,UK,Smooth Sliky Salty,2022-01-19,59290,175,January,2022,Wednesday
Madelene Upcott,Australia,Fruit & Nut Bars,2022-01-05,55790,92,January,2022,Wednesday
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,109270,141,January,2022,Monday
Wilone O'Kielt,Australia,Drinking Coco,2022-04-06,6230,283,April,2022,Wednesday
Gunar Cockshoot,Australia,Fruit & Nut Bars,2022-06-15,60130,21,June,2022,Wednesday
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,15050,47,January,2022,Friday
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,4760,125,March,2022,Wednesday
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,115500,396,February,2022,Monday
Kelci Walkden,USA,Manuka Honey Choco,2022-02-16,173180,87,February,2022,Wednesday
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,18480,27,January,2022,Thursday
Kelci Walkden,Australia,Eclairs,2022-03-23,72730,547,March,2022,Wednesday
Curtice Advani,Canada,Spicy Special Slims,2022-06-16,8540,118,June,2022,Thursday
Oby Sorrel,India,Raspberry Choco,2022-04-14,68320,46,April,2022,Thursday
Kelci Walkden,UK,Eclairs,2022-01-25,46060,57,January,2022,Tuesday
Jan Morforth,India,Almond Choco,2022-03-11,44660,22,March,2022,Friday
Dotty Strutley,UK,Almond Choco,2022-07-28,161140,96,July,2022,Thursday
Marney O'Breen,New Zealand,After Nines,2022-03-09,15610,44,March,2022,Wednesday
Husein Augar,Australia,Orange Choco,2022-06-28,88970,188,June,2022,Tuesday
Marney O'Breen,Australia,Milk Bars,2022-07-28,24640,387,July,2022,Thursday
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,48300,50,August,2022,Monday
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,27650,264,January,2022,Wednesday
Beverie Moffet,New Zealand,White Choc,2022-03-24,71260,7,March,2022,Thursday
Van Tuxwell,UK,Milk Bars,2022-07-25,42630,90,July,2022,Monday
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,36050,403,August,2022,Monday
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,199290,174,May,2022,Monday
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,51030,140,August,2022,Wednesday
Jan Morforth,India,Eclairs,2022-01-05,25410,27,January,2022,Wednesday
Ches Bonnell,UK,Smooth Sliky Salty,2022-07-11,56630,110,July,2022,Monday
Wilone O'Kielt,USA,After Nines,2022-04-25,3920,30,April,2022,Monday
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,109760,121,April,2022,Monday
Barr Faughny,USA,Raspberry Choco,2022-04-12,92820,101,April,2022,Tuesday
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,18270,117,August,2022,Tuesday
Gigi Bohling,New Zealand,Manuka Honey Choco,2022-06-28,82670,272,June,2022,Tuesday
Ches Bonnell,Australia,Eclairs,2022-07-05,41160,128,July,2022,Tuesday
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-06-07,20930,45,June,2022,Tuesday
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,10150,27,January,2022,Tuesday
Brien Boise,Australia,Baker's Choco Chips,2022-01-04,125160,212,January,2022,Tuesday
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,27580,18,January,2022,Monday
Kelci Walkden,India,Almond Choco,2022-03-14,32970,149,March,2022,Monday
Camilla Castle,Australia,70% Dark Bites,2022-04-29,60480,477,April,2022,Friday
Oby Sorrel,India,Smooth Sliky Salty,2022-02-07,101010,108,February,2022,Monday
Kaine Padly,UK,Organic Choco Syrup,2022-03-31,22820,178,March,2022,Thursday
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,43610,81,March,2022,Wednesday
Karlen McCaffrey,UK,Eclairs,2022-01-25,77980,196,January,2022,Tuesday
Van Tuxwell,India,Baker's Choco Chips,2022-06-20,30520,447,June,2022,Monday
Gigi Bohling,UK,After Nines,2022-03-29,80290,175,March,2022,Tuesday
Curtice Advani,Australia,Orange Choco,2022-07-12,8540,136,July,2022,Tuesday
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-07-11,54600,138,July,2022,Monday
Karlen McCaffrey,Canada,Smooth Sliky Salty,2022-01-19,30170,184,January,2022,Wednesday
Andria Kimpton,USA,85% Dark Bars,2022-04-05,89110,82,April,2022,Tuesday
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,72030,12,February,2022,Monday
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2022-05-20,130830,14,May,2022,Friday
Mallorie Waber,Australia,Milk Bars,2022-07-29,27790,104,July,2022,Friday
Barr Faughny,USA,Fruit & Nut Bars,2022-01-28,90580,46,January,2022,Friday
Marney O'Breen,UK,Caramel Stuffed Bars,2022-07-19,35490,112,July,2022,Tuesday
Mallorie Waber,New Zealand,Manuka Honey Choco,2022-04-13,94360,11,April,2022,Wednesday
Roddy Speechley,India,Peanut Butter Cubes,2022-02-11,102830,21,February,2022,Friday
Roddy Speechley,New Zealand,Milk Bars,2022-03-02,54460,116,March,2022,Wednesday
Ches Bonnell,Australia,White Choc,2022-03-02,10430,202,March,2022,Wednesday
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,125860,6,July,2022,Thursday
Kelci Walkden,India,After Nines,2022-01-07,16870,520,January,2022,Friday
Brien Boise,UK,White Choc,2022-04-12,52990,167,April,2022,Tuesday
Van Tuxwell,Canada,Almond Choco,2022-06-27,32130,72,June,2022,Monday
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,51940,418,January,2022,Friday
Karlen McCaffrey,UK,Baker's Choco Chips,2022-02-07,47530,389,February,2022,Monday
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,137060,26,March,2022,Wednesday
Marney O'Breen,India,Peanut Butter Cubes,2022-01-10,64890,146,January,2022,Monday
Oby Sorrel,UK,Choco Coated Almonds,2022-03-17,93240,41,March,2022,Thursday
Gigi Bohling,USA,Spicy Special Slims,2022-01-21,108290,54,January,2022,Friday
Barr Faughny,Australia,White Choc,2022-07-04,81130,370,July,2022,Monday
Kaine Padly,Canada,Peanut Butter Cubes,2022-07-04,32690,176,July,2022,Monday
Dotty Strutley,USA,Manuka Honey Choco,2022-08-10,2730,210,August,2022,Wednesday
Dennison Crosswaite,Australia,50% Dark Bites,2022-04-01,72870,12,April,2022,Friday
Gigi Bohling,India,Raspberry Choco,2022-02-22,25830,159,February,2022,Tuesday
Camilla Castle,UK,White Choc,2022-01-03,99820,187,January,2022,Monday
Karlen McCaffrey,India,Drinking Coco,2022-05-31,47950,233,May,2022,Tuesday
Dotty Strutley,UK,99% Dark & Pure,2022-01-03,93100,282,January,2022,Monday
Husein Augar,New Zealand,Caramel Stuffed Bars,2022-01-27,4970,475,January,2022,Thursday
Barr Faughny,UK,50% Dark Bites,2022-01-28,5810,65,January,2022,Friday
Curtice Advani,Australia,Organic Choco Syrup,2022-06-28,34720,311,June,2022,Tuesday
Husein Augar,UK,Choco Coated Almonds,2022-03-02,43330,43,March,2022,Wednesday
Wilone O'Kielt,Australia,After Nines,2022-05-27,33250,26,May,2022,Friday
Dennison Crosswaite,USA,Almond Choco,2022-06-30,117180,84,June,2022,Thursday
Barr Faughny,Canada,Peanut Butter Cubes,2022-06-07,21000,78,June,2022,Tuesday
Kaine Padly,USA,70% Dark Bites,2022-05-12,40180,100,May,2022,Thursday
Barr Faughny,New Zealand,Raspberry Choco,2022-07-29,64680,66,July,2022,Friday
Dennison Crosswaite,UK,White Choc,2022-08-03,72380,265,August,2022,Wednesday
Barr Faughny,India,Baker's Choco Chips,2022-08-18,64540,141,August,2022,Thursday
Van Tuxwell,New Zealand,Smooth Sliky Salty,2022-06-14,31150,42,June,2022,Tuesday
Beverie Moffet,UK,White Choc,2022-06-30,64750,76,June,2022,Thursday
Camilla Castle,New Zealand,Mint Chip Choco,2022-06-13,11620,190,June,2022,Monday
Ches Bonnell,UK,Orange Choco,2022-04-27,142380,54,April,2022,Wednesday
Jan Morforth,Australia,White Choc,2022-07-27,34720,32,July,2022,Wednesday
Mallorie Waber,Canada,85% Dark Bars,2022-04-20,14280,424,April,2022,Wednesday
Rafaelita Blaksland,India,Spicy Special Slims,2022-01-04,80640,134,January,2022,Tuesday
Ches Bonnell,Australia,Mint Chip Choco,2022-02-21,96600,92,February,2022,Monday
Karlen McCaffrey,Australia,White Choc,2022-01-05,73570,48,January,2022,Wednesday
Beverie Moffet,India,Drinking Coco,2022-07-15,60550,46,July,2022,Friday
Brien Boise,Australia,Choco Coated Almonds,2022-05-25,51240,62,May,2022,Wednesday
Karlen McCaffrey,Canada,Eclairs,2022-04-20,34790,358,April,2022,Wednesday
Gigi Bohling,USA,99% Dark & Pure,2022-06-02,7840,249,June,2022,Thursday
Marney O'Breen,UK,Smooth Sliky Salty,2022-05-13,189910,88,May,2022,Friday
Beverie Moffet,New Zealand,Baker's Choco Chips,2022-08-03,13720,144,August,2022,Wednesday
Beverie Moffet,Australia,Milk Bars,2022-05-25,7350,390,May,2022,Wednesday
Van Tuxwell,UK,Raspberry Choco,2022-03-16,65380,79,March,2022,Wednesday
Jan Morforth,Australia,Orange Choco,2022-07-04,31990,122,July,2022,Monday
Jehu Rudeforth,India,50% Dark Bites,2022-07-05,34720,135,July,2022,Tuesday
Madelene Upcott,USA,After Nines,2022-03-15,45710,430,March,2022,Tuesday
Barr Faughny,UK,Raspberry Choco,2022-08-22,54810,69,August,2022,Monday
Ches Bonnell,Australia,70% Dark Bites,2022-01-12,31360,125,January,2022,Wednesday
Marney O'Breen,UK,Baker's Choco Chips,2022-06-10,2520,154,June,2022,Friday
Kaine Padly,Australia,Peanut Butter Cubes,2022-03-25,54600,286,March,2022,Friday
Rafaelita Blaksland,India,Almond Choco,2022-07-27,33950,99,July,2022,Wednesday
Husein Augar,UK,Caramel Stuffed Bars,2022-04-15,149380,433,April,2022,Friday
Roddy Speechley,India,Orange Choco,2022-06-27,40530,19,June,2022,Monday
Jehu Rudeforth,UK,70% Dark Bites,2022-04-14,55650,258,April,2022,Thursday
Husein Augar,Australia,Manuka Honey Choco,2022-03-15,71610,92,March,2022,Tuesday
Madelene Upcott,USA,Eclairs,2022-03-18,88830,200,March,2022,Friday
Brien Boise,India,Eclairs,2022-04-29,13510,61,April,2022,Friday
Mallorie Waber,New Zealand,White Choc,2022-02-25,31710,246,February,2022,Friday
Husein Augar,USA,Milk Bars,2022-03-02,8540,56,March,2022,Wednesday
Van Tuxwell,Australia,Milk Bars,2022-06-20,79100,87,June,2022,Monday
Beverie Moffet,Canada,White Choc,2022-07-15,92750,173,July,2022,Friday
Dotty Strutley,Australia,50% Dark Bites,2022-05-12,31080,252,May,2022,Thursday
Mallorie Waber,New Zealand,Organic Choco Syrup,2022-07-01,50750,256,July,2022,Friday
Husein Augar,USA,85% Dark Bars,2022-08-08,3780,54,August,2022,Monday
Madelene Upcott,Australia,50% Dark Bites,2022-07-25,73500,6,July,2022,Monday
Wilone O'Kielt,UK,Drinking Coco,2022-05-18,33880,55,May,2022,Wednesday
Camilla Castle,India,Peanut Butter Cubes,2022-07-15,118370,277,July,2022,Friday
Curtice Advani,India,70% Dark Bites,2022-07-05,22820,44,July,2022,Tuesday
Mallorie Waber,USA,Manuka Honey Choco,2022-07-04,54250,96,July,2022,Monday
Dotty Strutley,UK,70% Dark Bites,2022-06-20,12670,216,June,2022,Monday
Gunar Cockshoot,Australia,Almond Choco,2022-01-25,37520,424,January,2022,Tuesday
Kaine Padly,New Zealand,Spicy Special Slims,2022-07-01,77280,37,July,2022,Friday
Gigi Bohling,USA,50% Dark Bites,2022-04-13,22960,59,April,2022,Wednesday
Beverie Moffet,UK,Smooth Sliky Salty,2022-05-04,44030,76,May,2022,Wednesday
Beverie Moffet,Australia,Baker's Choco Chips,2022-08-04,31920,109,August,2022,Thursday
Beverie Moffet,India,70% Dark Bites,2022-06-01,4480,146,June,2022,Wednesday
Jehu Rudeforth,UK,Choco Coated Almonds,2022-04-22,42700,185,April,2022,Friday
Kaine Padly,USA,50% Dark Bites,2022-08-03,700,27,August,2022,Wednesday
Ches Bonnell,USA,Orange Choco,2022-06-10,17430,69,June,2022,Friday
Gunar Cockshoot,UK,Manuka Honey Choco,2022-06-27,67620,46,June,2022,Monday
Marney O'Breen,Australia,Smooth Sliky Salty,2022-01-03,37450,170,January,2022,Monday
Marney O'Breen,India,After Nines,2022-07-11,26390,179,July,2022,Monday
Ches Bonnell,New Zealand,Milk Bars,2022-08-17,43890,126,August,2022,Wednesday
Rafaelita Blaksland,USA,Fruit & Nut Bars,2022-01-18,26040,65,January,2022,Tuesday
Ches Bonnell,India,Organic Choco Syrup,2022-03-08,165690,99,March,2022,Tuesday
Mallorie Waber,Australia,Orange Choco,2022-03-07,146580,275,March,2022,Monday
Husein Augar,India,70% Dark Bites,2022-05-09,64540,157,May,2022,Monday
Barr Faughny,New Zealand,85% Dark Bars,2022-05-23,21000,157,May,2022,Monday
Madelene Upcott,UK,Caramel Stuffed Bars,2022-04-15,1610,145,April,2022,Friday
Gigi Bohling,Australia,Drinking Coco,2022-07-27,28070,139,July,2022,Wednesday
Marney O'Breen,Canada,Choco Coated Almonds,2022-08-22,26390,406,August,2022,Monday
Ches Bonnell,USA,70% Dark Bites,2022-05-11,45710,122,May,2022,Wednesday
Madelene Upcott,India,Organic Choco Syrup,2022-01-26,47810,38,January,2022,Wednesday
Barr Faughny,USA,50% Dark Bites,2022-04-14,130340,117,April,2022,Thursday
Dennison Crosswaite,New Zealand,Mint Chip Choco,2022-04-05,64540,417,April,2022,Tuesday
Marney O'Breen,New Zealand,Smooth Sliky Salty,2022-06-14,84840,57,June,2022,Tuesday
Brien Boise,Canada,Almond Choco,2022-04-13,47810,125,April,2022,Wednesday
Beverie Moffet,Australia,White Choc,2022-06-27,22400,166,June,2022,Monday
Dotty Strutley,Australia,Eclairs,2022-01-26,69790,3,January,2022,Wednesday
Barr Faughny,UK,White Choc,2022-07-05,16520,72,July,2022,Tuesday
Beverie Moffet,Canada,Baker's Choco Chips,2022-01-11,134470,95,January,2022,Tuesday
Kelci Walkden,USA,White Choc,2022-03-07,94220,22,March,2022,Monday
Kaine Padly,Canada,50% Dark Bites,2022-03-04,86870,100,March,2022,Friday
Karlen McCaffrey,Canada,Organic Choco Syrup,2022-07-15,24150,312,July,2022,Friday
Kaine Padly,UK,Peanut Butter Cubes,2022-05-11,62720,86,May,2022,Wednesday
Karlen McCaffrey,USA,Milk Bars,2022-01-27,43890,7,January,2022,Thursday
Karlen McCaffrey,India,Orange Choco,2022-06-27,31220,149,June,2022,Monday
Ches Bonnell,India,Smooth Sliky Salty,2022-08-03,80430,18,August,2022,Wednesday
Wilone O'Kielt,New Zealand,Mint Chip Choco,2022-08-19,116620,242,August,2022,Friday
Wilone O'Kielt,Australia,Fruit & Nut Bars,2022-06-15,3920,102,June,2022,Wednesday
Dennison Crosswaite,UK,Peanut Butter Cubes,2022-02-07,89250,158,February,2022,Monday
Karlen McCaffrey,Australia,Almond Choco,2022-07-08,72940,128,July,2022,Friday
Dennison Crosswaite,India,Milk Bars,2022-04-21,15260,96,April,2022,Thursday
Ches Bonnell,UK,Mint Chip Choco,2022-04-08,26880,209,April,2022,Friday
Husein Augar,Australia,50% Dark Bites,2022-08-19,148890,52,August,2022,Friday
Jan Morforth,India,Fruit & Nut Bars,2022-05-04,29120,55,May,2022,Wednesday
Mallorie Waber,USA,85% Dark Bars,2022-05-11,26320,108,May,2022,Wednesday
Mallorie Waber,USA,Eclairs,2022-03-22,63280,51,March,2022,Tuesday
Dennison Crosswaite,Canada,Spicy Special Slims,2022-08-10,25270,216,August,2022,Wednesday
Dennison Crosswaite,USA,Fruit & Nut Bars,2022-05-04,14140,318,May,2022,Wednesday
Kelci Walkden,USA,99% Dark & Pure,2022-08-18,77140,238,August,2022,Thursday
Dotty Strutley,Canada,Raspberry Choco,2022-08-03,43470,238,August,2022,Wednesday
Marney O'Breen,New Zealand,Milk Bars,2022-01-14,74900,315,January,2022,Friday
Madelene Upcott,Australia,Choco Coated Almonds,2022-04-08,20580,72,April,2022,Friday
Kelci Walkden,UK,Orange Choco,2022-08-01,36400,3,August,2022,Monday
Dennison Crosswaite,Canada,Eclairs,2022-03-15,4550,45,March,2022,Tuesday
Karlen McCaffrey,India,Mint Chip Choco,2022-07-15,109900,184,July,2022,Friday
Barr Faughny,New Zealand,Almond Choco,2022-01-13,55580,127,January,2022,Thursday
Mallorie Waber,Australia,85% Dark Bars,2022-08-26,25410,53,August,2022,Friday
Ches Bonnell,Canada,Eclairs,2022-01-10,18760,172,January,2022,Monday
Gigi Bohling,Australia,White Choc,2022-05-11,55230,87,May,2022,Wednesday
Beverie Moffet,New Zealand,85% Dark Bars,2022-08-30,112000,22,August,2022,Tuesday
Kaine Padly,USA,Caramel Stuffed Bars,2022-07-21,55930,122,July,2022,Thursday
Mallorie Waber,Australia,Almond Choco,2022-08-01,78820,125,August,2022,Monday
Brien Boise,Canada,85% Dark Bars,2022-02-17,102410,259,February,2022,Thursday
Brien Boise,Australia,Drinking Coco,2022-07-27,68320,156,July,2022,Wednesday
Dotty Strutley,USA,Orange Choco,2022-02-23,13790,107,February,2022,Wednesday
Rafaelita Blaksland,Australia,50% Dark Bites,2022-03-22,30100,40,March,2022,Tuesday
Dennison Crosswaite,India,99% Dark & Pure,2022-06-23,68880,311,June,2022,Thursday
Curtice Advani,UK,White Choc,2022-02-01,15400,73,February,2022,Tuesday
Kelci Walkden,Australia,After Nines,2022-03-02,69160,288,March,2022,Wednesday
Gigi Bohling,UK,Fruit & Nut Bars,2022-04-06,12320,86,April,2022,Wednesday
Gunar Cockshoot,Australia,Raspberry Choco,2022-03-17,6020,72,March,2022,Thursday
Curtice Advani,UK,Fruit & Nut Bars,2022-06-24,109270,136,June,2022,Friday
Barr Faughny,Canada,50% Dark Bites,2022-07-19,101850,303,July,2022,Tuesday
